b,continuity_recovery_rate,cross_platform_link_rate,false_negative_rate,link_rate_cross_platform_long,link_rate_cross_platform_short,link_rate_intra_platform_distant,link_rate_migration_consecutive,link_rate_post_migration_consecutive,link_rate_pre_migration_consecutive,mean_J_cross_platform_long,mean_J_cross_platform_short,mean_J_intra_platform_distant,mean_J_migration_consecutive,mean_J_post_migration_consecutive,mean_J_pre_migration_consecutive,migration_degradation,migration_link_rate,n_cross_platform_long,n_cross_platform_short,n_intra_platform_distant,n_migration_consecutive,n_post_migration_consecutive,n_pre_migration_consecutive,post_migration_recovery,r,seed,sweep_key,sweep_value
2,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.01875,0.11875,0.821875,0.1875,0.91875,0.925,1.0,0.0,30,5,20,1,5,5,1.0,16,0,invariant_ratio,0.25
4,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.01875,0.11875,0.821875,0.1875,0.91875,0.925,1.0,0.0,30,5,20,1,5,5,1.0,8,0,invariant_ratio,0.25
8,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.01875,0.11875,0.821875,0.1875,0.91875,0.925,1.0,0.0,30,5,20,1,5,5,1.0,4,0,invariant_ratio,0.25
16,1.0,0.8,0.0,0.03333333333333333,0.8,1.0,1.0,1.0,1.0,0.01875,0.11875,0.821875,0.1875,0.91875,0.925,0.0,1.0,30,5,20,1,5,5,1.0,2,0,invariant_ratio,0.25
2,0.8,0.0,1.0,0.0,0.0,0.55,0.0,0.6,1.0,0.009375,0.1,0.8046875,0.1875,0.9125,0.925,0.8,0.0,30,5,20,1,5,5,0.6,16,1,invariant_ratio,0.25
4,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.009375,0.1,0.8046875,0.1875,0.9125,0.925,1.0,0.0,30,5,20,1,5,5,1.0,8,1,invariant_ratio,0.25
8,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.009375,0.1,0.8046875,0.1875,0.9125,0.925,0.0,1.0,30,5,20,1,5,5,1.0,4,1,invariant_ratio,0.25
16,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.009375,0.1,0.8046875,0.1875,0.9125,0.925,0.0,1.0,30,5,20,1,5,5,1.0,2,1,invariant_ratio,0.25
2,0.9,0.0,1.0,0.0,0.0,0.65,0.0,0.8,1.0,0.010416666666666666,0.11875,0.7859375,0.1875,0.90625,0.925,0.9,0.0,30,5,20,1,5,5,0.8,16,2,invariant_ratio,0.25
4,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.010416666666666666,0.11875,0.7859375,0.1875,0.90625,0.925,1.0,0.0,30,5,20,1,5,5,1.0,8,2,invariant_ratio,0.25
